customer_id,recency_days,freq_30d,freq_90d,monetary_90d,freq_ratio,churn
C00000,27.0,1.0,4.0,508.17,0.24999993750001562,0
C00001,48.0,0.0,2.0,65.86,0.0,0
C00002,11.0,2.0,3.0,127.44999999999999,0.6666664444445185,1
C00003,124.0,0.0,0.0,0.0,0.0,1
C00004,28.0,1.0,3.0,138.86,0.33333322222225925,1
C00005,29.0,1.0,4.0,76.76,0.24999993750001562,0
C00006,47.0,0.0,1.0,61.85,0.0,1
C00007,173.0,0.0,0.0,0.0,0.0,0
C00008,9.0,2.0,5.0,133.29000000000002,0.399999920000016,0
C00009,27.0,1.0,2.0,75.12,0.499999750000125,1
C00010,119.0,0.0,0.0,0.0,0.0,1
C00011,13.0,1.0,2.0,74.65,0.499999750000125,1
C00012,15.0,1.0,5.0,854.9000000000001,0.199999960000008,0
C00013,31.0,0.0,4.0,150.03,0.0,0
C00014,2.0,2.0,4.0,401.65999999999997,0.49999987500003124,1
C00015,29.0,1.0,2.0,39.4,0.499999750000125,0
C00016,18.0,1.0,5.0,253.05,0.199999960000008,0
C00017,22.0,1.0,1.0,53.57,0.9999990000010001,0
C00019,0.0,3.0,7.0,463.44999999999993,0.4285713673469475,0
C00020,7.0,3.0,7.0,126.69,0.4285713673469475,0
C00021,388.0,0.0,0.0,0.0,0.0,0
C00022,23.0,1.0,3.0,165.21,0.33333322222225925,1
C00023,3.0,1.0,4.0,403.90000000000003,0.24999993750001562,0
C00024,43.0,0.0,1.0,31.02,0.0,0
C00025,116.0,0.0,0.0,0.0,0.0,1
C00026,3.0,3.0,6.0,599.01,0.49999991666668053,1
C00027,36.0,0.0,1.0,44.27,0.0,1
C00028,27.0,1.0,2.0,138.19,0.499999750000125,1
C00029,368.0,0.0,0.0,0.0,0.0,1
C00030,202.0,0.0,0.0,0.0,0.0,1
C00031,19.0,1.0,8.0,787.1899999999999,0.12499998437500197,0
C00032,29.0,1.0,6.0,362.46999999999997,0.16666663888889352,0
C00033,6.0,1.0,11.0,430.65999999999997,0.09090908264462885,0
C00035,8.0,1.0,8.0,458.25000000000006,0.12499998437500197,0
C00036,16.0,1.0,2.0,94.93,0.499999750000125,0
C00037,284.0,0.0,0.0,0.0,0.0,0
C00038,20.0,1.0,8.0,778.79,0.12499998437500197,0
C00039,31.0,0.0,14.0,481.53000000000003,0.0,0
C00040,0.0,1.0,2.0,83.53,0.499999750000125,1
C00041,1.0,3.0,9.0,652.05,0.33333329629630043,0
C00042,355.0,0.0,0.0,0.0,0.0,1
C00043,47.0,0.0,3.0,193.19,0.0,1
C00044,13.0,1.0,2.0,46.410000000000004,0.499999750000125,1
C00045,0.0,1.0,1.0,176.21,0.9999990000010001,1
C00046,3.0,2.0,2.0,153.63,0.99999950000025,0
C00047,370.0,0.0,0.0,0.0,0.0,1
C00048,22.0,1.0,2.0,70.2,0.499999750000125,1
C00049,132.0,0.0,0.0,0.0,0.0,0
C00050,253.0,0.0,0.0,0.0,0.0,1
C00051,46.0,0.0,3.0,47.53,0.0,0
C00052,308.0,0.0,0.0,0.0,0.0,1
C00053,0.0,1.0,3.0,73.33,0.33333322222225925,0
C00054,121.0,0.0,0.0,0.0,0.0,0
C00055,1.0,2.0,7.0,216.32000000000002,0.285714244897965,0
C00056,25.0,2.0,7.0,458.46000000000004,0.285714244897965,0
C00057,45.0,0.0,1.0,71.03,0.0,1
C00058,136.0,0.0,0.0,0.0,0.0,1
C00059,19.0,1.0,3.0,151.82,0.33333322222225925,0
C00060,48.0,0.0,1.0,44.51,0.0,0
C00061,68.0,0.0,1.0,15.29,0.0,1
C00062,47.0,0.0,1.0,118.81,0.0,1
C00063,11.0,2.0,4.0,212.67999999999998,0.49999987500003124,1
C00064,11.0,1.0,4.0,256.96999999999997,0.24999993750001562,0
C00065,10.0,2.0,6.0,504.33000000000004,0.33333327777778704,0
C00066,10.0,3.0,6.0,231.17000000000002,0.49999991666668053,0
C00067,14.0,3.0,6.0,389.7900000000001,0.49999991666668053,0
C00068,21.0,1.0,1.0,40.32,0.9999990000010001,1
C00069,3.0,6.0,14.0,701.14,0.42857139795918586,0
C00070,13.0,1.0,1.0,14.49,0.9999990000010001,0
C00071,73.0,0.0,1.0,93.89,0.0,0
C00072,2.0,4.0,6.0,195.58999999999997,0.6666665555555741,1
C00073,220.0,0.0,0.0,0.0,0.0,0
C00074,1.0,2.0,8.0,398.51,0.24999996875000394,1
C00075,68.0,0.0,2.0,223.27999999999997,0.0,0
C00076,76.0,0.0,1.0,95.17,0.0,0
C00077,10.0,2.0,3.0,268.62,0.6666664444445185,1
C00079,12.0,1.0,3.0,70.00999999999999,0.33333322222225925,1
C00080,5.0,2.0,2.0,299.24,0.99999950000025,0
C00081,5.0,4.0,9.0,372.20000000000005,0.44444439506173394,0
C00082,15.0,2.0,6.0,468.3,0.33333327777778704,0
C00084,171.0,0.0,0.0,0.0,0.0,1
C00085,271.0,0.0,0.0,0.0,0.0,1
C00086,93.0,0.0,0.0,0.0,0.0,0
C00087,7.0,2.0,3.0,171.94,0.6666664444445185,1
C00089,4.0,2.0,10.0,513.6700000000001,0.19999998000000202,0
C00090,206.0,0.0,0.0,0.0,0.0,0
C00091,35.0,0.0,3.0,134.44,0.0,1
C00092,21.0,3.0,3.0,169.63,0.9999996666667778,0
C00093,6.0,1.0,1.0,14.67,0.9999990000010001,1
C00094,301.0,0.0,0.0,0.0,0.0,0
C00095,0.0,2.0,4.0,105.86,0.49999987500003124,1
C00096,1.0,1.0,3.0,189.21,0.33333322222225925,1
C00097,10.0,1.0,10.0,375.39,0.09999999000000101,0
C00099,2.0,5.0,11.0,402.9100000000001,0.4545454132231443,0
C00100,26.0,1.0,3.0,148.79,0.33333322222225925,1
C00101,14.0,1.0,4.0,229.36,0.24999993750001562,0
C00102,9.0,6.0,28.0,2038.0300000000002,0.21428570663265334,1
C00103,102.0,0.0,0.0,0.0,0.0,1
C00104,63.0,0.0,2.0,50.89,0.0,1
C00105,34.0,0.0,3.0,99.4,0.0,0
C00106,6.0,2.0,5.0,391.02000000000004,0.399999920000016,0
C00107,207.0,0.0,0.0,0.0,0.0,1
C00108,78.0,0.0,1.0,4.05,0.0,1
C00109,18.0,3.0,9.0,621.84,0.33333329629630043,0
C00110,27.0,1.0,4.0,138.06,0.24999993750001562,1
C00111,14.0,2.0,3.0,164.91,0.6666664444445185,1
C00112,20.0,2.0,6.0,495.41999999999996,0.33333327777778704,1
C00114,4.0,2.0,14.0,792.3499999999999,0.14285713265306196,0
C00115,9.0,3.0,18.0,1156.41,0.1666666574074079,0
C00116,1.0,2.0,3.0,285.12,0.6666664444445185,0
C00117,202.0,0.0,0.0,0.0,0.0,1
C00118,14.0,2.0,3.0,133.25,0.6666664444445185,1
C00119,8.0,3.0,10.0,227.32,0.299999970000003,0
C00120,100.0,0.0,0.0,0.0,0.0,0
C00121,24.0,2.0,8.0,580.84,0.24999996875000394,0
C00122,205.0,0.0,0.0,0.0,0.0,1
C00123,11.0,1.0,3.0,106.35000000000001,0.33333322222225925,1
C00124,9.0,3.0,9.0,506.57000000000005,0.33333329629630043,0
C00125,218.0,0.0,0.0,0.0,0.0,1
C00126,28.0,1.0,2.0,164.34,0.499999750000125,0
C00127,38.0,0.0,5.0,260.58000000000004,0.0,0
C00128,0.0,7.0,12.0,812.17,0.5833332847222263,0
C00129,0.0,1.0,4.0,135.32,0.24999993750001562,1
C00130,0.0,2.0,12.0,1008.79,0.16666665277777895,0
C00131,11.0,2.0,3.0,236.15,0.6666664444445185,0
C00132,0.0,1.0,2.0,86.94999999999999,0.499999750000125,0
C00133,2.0,1.0,3.0,207.82999999999998,0.33333322222225925,0
C00134,83.0,0.0,2.0,137.99,0.0,1
C00135,31.0,0.0,1.0,28.92,0.0,0
C00136,43.0,0.0,1.0,5.52,0.0,0
C00137,12.0,1.0,2.0,70.02,0.499999750000125,1
C00138,15.0,2.0,5.0,193.35000000000002,0.399999920000016,0
C00139,39.0,0.0,9.0,497.88,0.0,0
C00140,16.0,1.0,2.0,45.35,0.499999750000125,1
C00141,12.0,2.0,4.0,207.43,0.49999987500003124,1
C00142,14.0,2.0,3.0,187.71,0.6666664444445185,0
C00143,165.0,0.0,0.0,0.0,0.0,1
C00144,17.0,2.0,6.0,216.78999999999996,0.33333327777778704,0
C00145,119.0,0.0,0.0,0.0,0.0,0
C00146,56.0,0.0,3.0,145.21,0.0,0
