customer_id,frequency,avg_amount,duration,event
C00000,21,104.82190476190478,212,0
C00001,33,65.31393939393939,380,0
C00002,17,91.09058823529412,205,1
C00003,5,28.038,57,1
C00004,25,101.3716,270,1
C00005,12,36.406666666666666,130,0
C00006,4,36.95,165,1
C00007,12,78.47666666666667,231,0
C00008,24,44.91291666666667,324,0
C00009,23,84.00217391304348,413,1
C00010,4,75.035,78,1
C00011,22,56.58500000000001,196,1
C00012,30,92.88833333333334,261,0
C00013,45,41.51511111111111,240,0
C00014,9,59.57888888888889,257,1
C00015,7,18.697142857142858,418,0
C00016,20,46.6305,367,0
C00017,11,77.1009090909091,403,0
C00019,44,54.31704545454545,386,0
C00020,29,21.16344827586207,270,0
C00021,9,93.3288888888889,423,0
C00022,5,33.519999999999996,108,1
C00023,18,73.85055555555556,362,0
C00024,9,65.12888888888888,345,0
C00025,2,64.86,42,1
C00026,18,96.72222222222223,165,1
C00027,8,51.6575,243,1
C00028,9,95.07333333333334,270,1
C00029,1,90.12,12,1
C00030,1,78.08,97,1
C00031,51,67.00882352941176,284,0
C00032,23,46.18782608695652,160,0
C00033,39,36.61512820512821,164,0
C00035,44,53.74613636363636,429,0
C00036,6,37.278333333333336,240,0
C00037,5,53.75599999999999,416,0
C00038,50,41.3962,244,0
C00039,49,40.53530612244898,130,0
C00040,19,73.97842105263159,438,1
C00041,44,40.61863636363636,276,0
C00042,2,74.27,28,1
C00043,23,65.04304347826087,151,1
C00044,8,46.36125,412,1
C00045,8,72.1975,123,1
C00046,12,89.30333333333333,351,0
C00047,1,24.61,4,1
C00048,7,66.52428571428571,140,1
C00049,5,41.484,201,0
C00050,7,72.84857142857143,120,1
C00051,22,47.47909090909091,144,0
C00052,3,22.423333333333332,7,1
C00053,14,80.29357142857143,190,0
C00054,5,29.122000000000003,159,0
C00055,20,37.815,111,0
C00056,30,76.92166666666667,163,0
C00057,6,42.574999999999996,170,1
C00058,2,70.31,233,1
C00059,21,36.327619047619045,419,0
C00060,19,96.21631578947368,300,0
C00061,8,48.36625,259,1
C00062,5,79.548,106,1
C00063,17,36.54764705882353,260,1
C00064,19,62.58526315789473,311,0
C00065,22,66.67681818181819,379,0
C00066,52,65.05461538461539,413,0
C00067,50,39.4134,380,0
C00068,5,61.727999999999994,303,1
C00069,66,86.0519696969697,361,0
C00070,11,42.153636363636366,299,0
C00071,37,84.62216216216216,405,0
C00072,56,61.894999999999996,320,1
C00073,8,55.765,317,0
C00074,42,31.991666666666667,345,1
C00075,15,69.07466666666666,162,0
C00076,5,117.49000000000001,389,0
C00077,16,83.61,316,1
C00079,23,62.19434782608696,285,1
C00080,22,105.81863636363636,150,0
C00081,62,44.299677419354836,266,0
C00082,20,72.0445,124,0
C00084,1,66.59,3,1
C00085,2,44.045,165,1
C00086,4,88.5075,118,0
C00087,12,100.00916666666667,231,1
C00089,34,51.1614705882353,172,0
C00090,8,68.14,248,0
C00091,20,47.7055,155,1
C00092,22,89.17863636363637,272,0
C00093,6,26.266666666666666,392,1
C00094,11,93.85181818181819,370,0
C00095,23,32.15652173913043,340,1
C00096,12,56.340833333333336,149,1
C00097,32,34.5615625,137,0
C00099,48,37.34083333333333,310,0
C00100,12,69.19666666666667,411,1
C00101,37,45.12135135135135,377,0
C00102,88,65.7078409090909,133,1
C00103,8,100.49375,55,1
C00104,5,80.366,108,1
C00105,11,56.4,325,0
C00106,40,74.089,402,0
C00107,1,34.13,1,1
C00108,8,19.70875,203,1
C00109,39,49.863076923076925,323,0
C00110,11,22.542727272727273,117,1
