,customer_id,transaction_date,amount
0,C00000,2025-09-10,195.78
1,C00000,2025-09-12,50.87
2,C00000,2025-10-01,133.25
3,C00000,2025-10-16,37.44
4,C00000,2025-10-18,101.95
5,C00000,2025-10-28,195.22
6,C00000,2025-11-23,206.8
7,C00000,2025-11-27,79.74
8,C00000,2025-12-09,85.42
9,C00000,2025-12-27,47.99
10,C00000,2025-12-28,40.01
11,C00000,2025-12-31,48.38
12,C00001,2025-03-17,66.11
13,C00001,2025-04-23,38.28
14,C00001,2025-05-22,43.49
15,C00001,2025-06-11,11.52
16,C00001,2025-06-18,23.29
17,C00001,2025-06-24,43.98
18,C00001,2025-07-14,32.19
19,C00001,2025-07-14,73.73
20,C00001,2025-07-31,190.5
21,C00001,2025-08-02,62.25
22,C00001,2025-09-11,35.45
23,C00001,2025-10-04,28.92
24,C00001,2025-10-06,75.61
25,C00001,2025-10-07,33.61
26,C00001,2025-11-14,59.57
27,C00001,2025-11-27,157.04
28,C00001,2025-12-03,125.56
29,C00001,2025-12-15,85.51
30,C00001,2025-12-20,41.85
31,C00002,2025-08-20,133.87
32,C00002,2025-08-22,58.48
33,C00002,2025-08-24,141.13
34,C00002,2025-08-25,32.04
35,C00002,2025-08-28,172.52
36,C00002,2025-08-31,82.76
37,C00002,2025-09-04,51.75
38,C00002,2025-09-04,43.9
39,C00002,2025-09-11,39.93
40,C00002,2025-09-16,38.48
41,C00002,2025-09-26,115.78
42,C00003,2025-10-04,56.53
43,C00003,2025-10-05,23.15
44,C00003,2025-11-14,4.08
45,C00003,2025-11-18,30.95
46,C00004,2025-06-08,149.52
47,C00004,2025-06-09,18.13
48,C00004,2025-06-14,33.21
49,C00004,2025-06-17,277.26
50,C00004,2025-06-22,40.02
51,C00004,2025-06-29,145.36
52,C00004,2025-07-06,78.44
53,C00004,2025-07-08,168.0
54,C00004,2025-07-12,62.69
55,C00004,2025-07-17,67.14
56,C00004,2025-07-24,282.98
57,C00004,2025-07-30,98.24
58,C00004,2025-08-02,30.44
59,C00004,2025-08-06,68.02
60,C00004,2025-08-07,156.12
61,C00004,2025-08-07,17.85
62,C00004,2025-08-16,173.38
63,C00004,2025-09-03,56.06
64,C00004,2025-09-14,96.08
65,C00005,2025-11-13,31.66
66,C00005,2025-11-23,32.67
67,C00005,2025-11-30,41.66
68,C00005,2025-12-13,23.87
69,C00005,2025-12-17,10.23
70,C00005,2025-12-17,4.1
71,C00005,2025-12-18,37.74
72,C00005,2025-12-29,27.19
73,C00006,2025-09-04,20.2
74,C00006,2025-10-08,38.16
75,C00006,2025-11-25,27.59
76,C00007,2025-08-11,229.27
77,C00007,2025-08-23,104.13
78,C00007,2025-09-03,110.47
79,C00007,2025-09-18,88.1
80,C00007,2025-09-30,52.66
81,C00008,2025-05-08,95.93
82,C00008,2025-07-08,69.01
83,C00008,2025-07-14,42.79
84,C00008,2025-07-15,54.59
85,C00008,2025-07-28,72.69
86,C00008,2025-08-27,27.05
87,C00008,2025-09-04,30.6
88,C00008,2025-09-04,51.17
89,C00008,2025-09-08,26.06
90,C00008,2025-10-02,26.87
91,C00008,2025-10-04,52.65
92,C00008,2025-10-19,87.52
93,C00008,2025-10-29,85.51
94,C00008,2025-10-31,45.72
95,C00009,2025-01-07,76.41
96,C00009,2025-01-08,39.28
97,C00009,2025-01-26,113.93
98,C00009,2025-02-03,39.88
99,C00009,2025-02-05,58.76
100,C00009,2025-02-07,183.39
101,C00009,2025-02-10,195.41
102,C00009,2025-02-11,191.28
103,C00009,2025-03-01,84.42
104,C00009,2025-03-03,55.52
105,C00009,2025-03-24,126.72
106,C00009,2025-03-26,40.67
107,C00009,2025-04-28,148.91
108,C00009,2025-05-03,51.29
109,C00009,2025-05-13,73.9
110,C00009,2025-05-18,151.22
111,C00009,2025-06-15,13.08
112,C00009,2025-06-19,53.21
113,C00010,2025-10-01,161.78
114,C00010,2025-10-05,15.72
115,C00010,2025-11-02,102.53
116,C00010,2025-11-23,20.11
117,C00011,2025-08-30,13.48
118,C00011,2025-09-02,62.48
119,C00011,2025-09-03,41.0
120,C00011,2025-09-25,47.31
121,C00011,2025-09-26,186.09
122,C00011,2025-10-01,63.3
123,C00011,2025-10-08,77.24
124,C00011,2025-10-09,25.62
125,C00011,2025-10-16,28.58
126,C00011,2025-11-02,21.98
127,C00011,2025-11-25,65.09
128,C00011,2025-12-01,59.07
129,C00011,2025-12-09,21.35
130,C00011,2025-12-11,57.35
131,C00011,2025-12-21,61.81
132,C00012,2025-07-12,62.96
133,C00012,2025-07-15,100.6
134,C00012,2025-07-26,75.06
135,C00012,2025-08-03,95.14
136,C00012,2025-08-17,88.69
137,C00012,2025-08-19,44.15
138,C00012,2025-08-30,166.23
139,C00012,2025-09-15,54.65
140,C00012,2025-09-27,51.36
141,C00012,2025-10-10,20.93
142,C00012,2025-10-10,61.46
143,C00012,2025-10-12,54.04
144,C00012,2025-10-15,10.6
145,C00012,2025-10-16,80.49
146,C00012,2025-10-23,241.7
147,C00012,2025-10-26,25.31
148,C00012,2025-10-27,93.82
149,C00012,2025-11-05,78.98
150,C00012,2025-11-06,151.13
151,C00012,2025-11-27,159.0
152,C00012,2025-12-31,363.35
153,C00013,2025-08-06,6.92
154,C00013,2025-08-07,17.78
155,C00013,2025-08-23,36.06
156,C00013,2025-08-28,34.62
157,C00013,2025-08-29,12.98
158,C00013,2025-09-04,20.92
159,C00013,2025-09-14,20.86
160,C00013,2025-09-15,53.83
161,C00013,2025-09-26,32.78
162,C00013,2025-09-30,11.93
163,C00013,2025-09-30,24.46
164,C00013,2025-10-03,27.51
165,C00013,2025-10-06,31.08
166,C00013,2025-10-10,15.99
167,C00013,2025-10-12,40.15
168,C00013,2025-10-24,16.45
169,C00013,2025-10-25,54.49
170,C00013,2025-10-27,30.89
171,C00013,2025-11-05,25.04
172,C00013,2025-11-18,47.71
173,C00013,2025-11-22,10.11
174,C00013,2025-11-23,53.52
175,C00013,2025-12-01,47.31
176,C00013,2025-12-02,39.37
177,C00013,2025-12-02,13.98
178,C00013,2025-12-03,41.75
179,C00013,2025-12-05,56.08
180,C00013,2025-12-11,28.37
181,C00013,2025-12-19,30.95
182,C00013,2025-12-25,14.62
183,C00014,2025-07-16,36.83
184,C00014,2025-07-18,17.87
185,C00014,2025-07-19,29.16
186,C00014,2025-07-19,11.93
187,C00014,2025-07-26,38.76
188,C00015,2025-02-11,29.8
189,C00015,2025-02-13,7.14
190,C00015,2025-02-26,7.38
191,C00015,2025-06-28,16.16
192,C00016,2025-03-24,43.51
193,C00016,2025-03-30,51.03
194,C00016,2025-03-30,39.82
195,C00016,2025-03-31,61.69
196,C00016,2025-04-10,9.85
197,C00016,2025-04-13,30.06
198,C00016,2025-04-14,8.31
199,C00016,2025-04-16,35.88
200,C00017,2025-02-26,56.05
201,C00017,2025-03-01,131.29
202,C00017,2025-03-08,154.81
203,C00017,2025-03-13,48.23
204,C00017,2025-03-15,73.32
205,C00017,2025-03-20,68.25
206,C00017,2025-04-11,174.28
207,C00017,2025-04-12,31.69
208,C00019,2025-03-16,38.23
209,C00019,2025-03-19,22.31
210,C00019,2025-03-22,11.44
211,C00019,2025-03-26,81.69
212,C00019,2025-04-09,15.78
213,C00019,2025-04-18,29.28
214,C00019,2025-04-20,46.8
215,C00019,2025-04-20,80.3
216,C00019,2025-05-07,27.71
217,C00019,2025-05-15,348.77
218,C00019,2025-05-18,22.05
219,C00019,2025-05-26,33.48
220,C00019,2025-06-17,40.03
221,C00019,2025-06-25,39.81
222,C00019,2025-06-27,17.4
223,C00019,2025-07-02,53.49
224,C00019,2025-07-15,44.64
225,C00019,2025-07-16,58.45
226,C00019,2025-07-17,7.05
227,C00019,2025-07-18,45.85
228,C00019,2025-07-18,4.71
229,C00019,2025-07-20,35.41
230,C00019,2025-07-21,52.18
231,C00019,2025-07-28,65.92
232,C00019,2025-07-30,31.98
233,C00019,2025-08-04,26.67
234,C00019,2025-08-05,13.79
235,C00019,2025-08-15,6.85
236,C00020,2025-07-02,10.04
237,C00020,2025-07-04,4.77
238,C00020,2025-07-29,2.14
239,C00020,2025-08-12,6.46
240,C00020,2025-08-22,15.28
241,C00020,2025-08-31,0.59
242,C00020,2025-09-16,4.95
243,C00020,2025-10-07,10.73
244,C00020,2025-10-09,7.25
245,C00020,2025-10-13,16.55
246,C00020,2025-10-18,14.26
247,C00020,2025-10-27,1.88
248,C00020,2025-11-11,7.71
249,C00020,2025-11-19,3.87
250,C00020,2025-11-23,3.83
251,C00020,2025-12-31,2.04
252,C00021,2025-01-26,91.31
253,C00021,2025-01-30,76.7
254,C00021,2025-02-07,67.33
255,C00021,2025-02-12,88.2
256,C00021,2025-02-16,271.23
257,C00021,2025-02-17,79.79
258,C00021,2025-02-27,107.99
259,C00022,2025-11-19,1.34
260,C00022,2025-12-27,31.03
261,C00022,2025-12-28,76.55
262,C00023,2025-04-16,81.72
263,C00023,2025-05-20,38.76
264,C00023,2025-05-22,24.2
265,C00023,2025-06-08,34.42
266,C00023,2025-06-26,229.02
267,C00023,2025-06-26,99.0
268,C00023,2025-06-30,63.11
269,C00024,2025-04-16,47.24
270,C00024,2025-04-24,11.53
271,C00024,2025-05-09,26.96
272,C00024,2025-05-24,113.0
273,C00024,2025-06-04,155.7
274,C00025,2025-11-07,10.27
275,C00025,2025-11-26,119.45
276,C00026,2025-10-17,123.99
277,C00026,2025-10-22,129.51
278,C00026,2025-11-05,10.99
279,C00026,2025-11-13,161.75
280,C00026,2025-11-16,44.1
281,C00026,2025-11-18,30.74
282,C00026,2025-11-22,122.85
283,C00026,2025-12-04,185.59
284,C00026,2025-12-17,143.32
285,C00026,2025-12-20,89.91
286,C00026,2025-12-23,110.74
287,C00027,2025-07-09,40.91
288,C00027,2025-08-01,57.12
289,C00027,2025-08-11,78.18
290,C00027,2025-08-17,68.35
291,C00027,2025-10-12,64.72
292,C00027,2025-10-29,34.96
293,C00028,2025-06-01,135.52
294,C00028,2025-06-06,84.55
295,C00028,2025-06-16,145.09
296,C00028,2025-06-17,234.27
297,C00028,2025-06-19,65.62
298,C00028,2025-06-19,37.18
299,C00029,2025-03-19,90.12
300,C00030,2025-09-01,78.08
301,C00031,2025-06-27,80.9
302,C00031,2025-06-30,6.54
303,C00031,2025-06-30,23.47
304,C00031,2025-07-07,115.44
305,C00031,2025-07-10,58.52
306,C00031,2025-07-18,7.68
307,C00031,2025-07-22,105.82
308,C00031,2025-08-11,50.4
309,C00031,2025-08-18,197.93
310,C00031,2025-08-20,29.97
311,C00031,2025-08-20,85.98
312,C00031,2025-08-21,33.47
313,C00031,2025-08-25,8.28
314,C00031,2025-08-27,239.03
315,C00031,2025-08-27,59.26
316,C00031,2025-08-31,41.54
317,C00031,2025-09-21,107.02
318,C00031,2025-09-22,81.51
319,C00031,2025-09-22,8.57
320,C00031,2025-09-26,35.36
321,C00031,2025-09-26,35.7
322,C00031,2025-10-02,20.08
323,C00031,2025-10-13,50.68
324,C00031,2025-10-25,61.26
325,C00031,2025-11-07,126.71
326,C00031,2025-11-15,72.93
327,C00031,2025-11-25,15.9
328,C00031,2025-11-30,39.44
329,C00031,2025-12-14,102.83
330,C00031,2025-12-22,76.26
331,C00031,2025-12-22,47.83
332,C00031,2025-12-22,14.34
333,C00031,2025-12-26,214.06
334,C00031,2025-12-27,252.62
335,C00031,2025-12-31,87.09
336,C00032,2025-10-23,44.47
337,C00032,2025-10-26,8.21
338,C00032,2025-10-31,5.2
339,C00032,2025-11-06,30.19
340,C00032,2025-11-13,26.86
341,C00032,2025-11-13,58.73
342,C00032,2025-11-15,7.16
343,C00032,2025-11-23,3.99
344,C00032,2025-12-07,42.14
345,C00032,2025-12-08,89.85
346,C00032,2025-12-10,71.49
347,C00032,2025-12-12,20.61
348,C00032,2025-12-25,26.95
349,C00033,2025-11-02,28.15
350,C00033,2025-11-02,53.65
351,C00033,2025-11-02,40.8
352,C00033,2025-11-04,8.55
353,C00033,2025-11-06,65.48
354,C00033,2025-11-07,73.7
355,C00033,2025-11-07,37.02
356,C00033,2025-11-13,63.97
357,C00033,2025-11-15,23.17
358,C00033,2025-11-16,43.51
359,C00033,2025-11-17,32.64
360,C00033,2025-11-20,48.29
361,C00033,2025-11-21,39.56
362,C00033,2025-11-29,23.93
363,C00033,2025-12-02,12.58
364,C00033,2025-12-02,21.29
365,C00033,2025-12-03,60.74
366,C00033,2025-12-06,15.17
367,C00033,2025-12-08,21.5
368,C00033,2025-12-13,6.02
369,C00033,2025-12-14,22.22
370,C00033,2025-12-23,31.35
371,C00033,2025-12-23,8.73
372,C00033,2025-12-25,55.56
373,C00033,2025-12-25,31.05
374,C00033,2025-12-28,17.23
375,C00033,2025-12-28,31.22
376,C00033,2025-12-29,37.5
377,C00035,2025-01-18,61.63
378,C00035,2025-01-25,52.32
379,C00035,2025-01-27,45.01
380,C00035,2025-01-31,87.1
381,C00035,2025-02-01,7.68
382,C00035,2025-02-07,17.84
383,C00035,2025-02-14,38.23
384,C00035,2025-02-15,43.24
385,C00035,2025-02-17,34.08
386,C00035,2025-02-22,9.15
387,C00035,2025-02-23,26.44
388,C00035,2025-02-25,111.17
389,C00035,2025-03-06,14.61
390,C00035,2025-03-09,37.59
391,C00035,2025-03-20,54.42
392,C00035,2025-03-23,66.96
393,C00035,2025-03-28,61.42
394,C00035,2025-04-06,24.87
395,C00035,2025-04-09,17.77
396,C00035,2025-04-12,117.11
397,C00035,2025-04-20,71.53
398,C00035,2025-04-28,40.35
399,C00035,2025-05-01,97.27
400,C00035,2025-05-03,11.21
401,C00035,2025-05-24,3.32
402,C00035,2025-06-20,42.88
403,C00035,2025-06-30,44.4
404,C00035,2025-06-30,10.18
405,C00036,2025-07-29,49.31
406,C00036,2025-08-03,15.1
407,C00036,2025-08-17,4.56
408,C00037,2025-04-14,85.4
409,C00037,2025-05-09,19.2
410,C00037,2025-06-11,33.21
411,C00038,2025-07-24,33.68
412,C00038,2025-07-25,1.88
413,C00038,2025-07-25,12.93
414,C00038,2025-07-30,31.13
415,C00038,2025-08-09,9.84
416,C00038,2025-08-10,17.14
417,C00038,2025-08-15,9.8
418,C00038,2025-08-25,21.75
419,C00038,2025-09-06,12.68
420,C00038,2025-09-07,0.54
421,C00038,2025-09-07,4.76
422,C00038,2025-09-12,25.05
423,C00038,2025-09-27,1.46
424,C00038,2025-10-02,16.56
425,C00038,2025-10-02,24.69
426,C00038,2025-10-05,4.31
427,C00038,2025-10-06,31.33
428,C00038,2025-10-13,40.67
429,C00038,2025-10-15,5.23
430,C00038,2025-10-20,9.45
431,C00038,2025-10-23,17.92
432,C00038,2025-10-23,44.82
433,C00038,2025-10-31,11.51
434,C00038,2025-11-08,27.04
435,C00038,2025-11-23,16.83
436,C00038,2025-12-04,9.42
437,C00038,2025-12-04,2.61
438,C00038,2025-12-07,8.12
439,C00038,2025-12-07,8.14
440,C00038,2025-12-10,50.42
441,C00038,2025-12-13,29.27
442,C00038,2025-12-17,11.37
443,C00038,2025-12-23,17.46
444,C00038,2025-12-26,8.95
445,C00039,2025-11-13,51.8
446,C00039,2025-11-14,21.26
447,C00039,2025-11-16,47.36
448,C00039,2025-11-21,35.5
449,C00039,2025-11-21,19.46
450,C00039,2025-11-25,26.37
451,C00039,2025-11-25,11.02
452,C00039,2025-11-27,4.94
453,C00039,2025-11-28,24.49
454,C00039,2025-11-29,113.65
455,C00039,2025-11-30,4.96
456,C00039,2025-12-03,103.8
457,C00039,2025-12-05,12.9
458,C00039,2025-12-05,7.84
459,C00039,2025-12-08,17.94
460,C00039,2025-12-09,26.0
461,C00039,2025-12-10,30.45
462,C00039,2025-12-15,4.28
463,C00039,2025-12-18,22.2
464,C00039,2025-12-20,4.52
465,C00039,2025-12-21,34.77
466,C00039,2025-12-22,85.63
467,C00039,2025-12-23,27.29
468,C00039,2025-12-25,10.91
469,C00039,2025-12-26,10.16
470,C00039,2025-12-27,26.59
471,C00039,2025-12-28,3.52
472,C00040,2025-01-24,111.24
473,C00040,2025-03-06,45.01
474,C00040,2025-03-11,72.65
475,C00040,2025-04-08,67.29
476,C00040,2025-04-10,24.53
477,C00040,2025-04-27,42.65
478,C00040,2025-06-18,40.22
479,C00040,2025-06-25,78.76
480,C00040,2025-08-14,12.89
481,C00040,2025-08-18,66.51
482,C00040,2025-08-27,48.62
483,C00040,2025-09-04,190.12
484,C00040,2025-09-07,79.31
485,C00040,2025-10-13,18.05
486,C00040,2025-10-14,39.15
487,C00041,2025-06-21,35.04
488,C00041,2025-07-06,34.27
489,C00041,2025-07-08,5.46
490,C00041,2025-07-13,25.58
491,C00041,2025-07-15,25.71
492,C00041,2025-07-15,44.76
493,C00041,2025-07-16,21.47
494,C00041,2025-08-02,83.08
495,C00041,2025-08-09,41.79
496,C00041,2025-08-19,44.84
497,C00041,2025-08-25,43.26
498,C00041,2025-08-26,32.38
499,C00041,2025-09-01,34.95
500,C00041,2025-09-09,67.4
501,C00041,2025-09-16,16.22
502,C00041,2025-09-16,34.01
503,C00041,2025-09-20,24.79
504,C00041,2025-09-26,56.56
505,C00041,2025-09-27,45.07
506,C00041,2025-10-08,17.79
507,C00041,2025-10-17,32.85
508,C00041,2025-10-19,24.42
509,C00041,2025-10-20,30.53
510,C00041,2025-11-12,17.43
511,C00041,2025-11-15,18.32
512,C00041,2025-11-19,8.85
513,C00041,2025-11-22,17.85
514,C00041,2025-11-23,65.49
515,C00041,2025-12-09,68.92
516,C00041,2025-12-13,15.23
517,C00041,2025-12-18,4.11
518,C00042,2025-03-17,120.14
519,C00042,2025-04-01,28.4
520,C00043,2025-09-07,92.15
521,C00043,2025-09-08,20.71
522,C00043,2025-09-22,43.01
523,C00043,2025-09-22,17.2
524,C00043,2025-09-24,53.28
525,C00043,2025-10-04,64.85
526,C00043,2025-10-11,37.36
527,C00043,2025-10-24,72.18
528,C00043,2025-10-24,76.01
529,C00043,2025-10-25,32.1
530,C00043,2025-10-31,38.4
531,C00043,2025-11-04,42.22
532,C00043,2025-11-04,51.33
533,C00043,2025-11-05,17.28
534,C00043,2025-11-17,19.84
535,C00043,2025-11-20,42.51
536,C00043,2025-12-20,106.0
537,C00043,2025-12-21,82.28
538,C00043,2025-12-24,21.33
539,C00044,2025-01-23,2.56
540,C00044,2025-01-29,51.17
541,C00044,2025-02-07,66.51
542,C00045,2025-11-21,168.45
543,C00045,2025-11-30,22.4
544,C00045,2025-12-07,8.38
545,C00045,2025-12-12,64.5
546,C00045,2025-12-20,65.56
547,C00046,2025-04-06,94.29
548,C00046,2025-04-09,85.5
549,C00046,2025-04-17,31.57
550,C00046,2025-04-24,30.14
551,C00046,2025-04-26,94.41
552,C00046,2025-04-26,89.63
553,C00046,2025-05-01,110.77
554,C00046,2025-05-20,164.62
555,C00047,2025-03-17,24.61
556,C00048,2025-11-06,20.54
557,C00048,2025-11-18,255.17
558,C00048,2025-11-21,65.39
559,C00049,2025-10-01,15.01
560,C00049,2025-11-10,30.71
561,C00050,2025-05-14,66.3
562,C00050,2025-05-20,36.42
563,C00050,2025-05-22,127.06
564,C00050,2025-06-09,29.39
565,C00050,2025-07-01,126.91
566,C00050,2025-07-12,85.18
567,C00051,2025-10-30,20.96
568,C00051,2025-11-01,94.7
569,C00051,2025-11-07,25.94
570,C00051,2025-11-07,11.87
571,C00051,2025-11-10,31.48
572,C00051,2025-11-24,0.45
573,C00051,2025-11-29,65.23
574,C00051,2025-12-10,65.02
575,C00051,2025-12-10,34.37
576,C00051,2025-12-10,126.87
577,C00051,2025-12-19,10.26
578,C00051,2025-12-19,40.32
579,C00051,2025-12-20,55.89
580,C00051,2025-12-28,21.74
581,C00051,2025-12-30,9.07
582,C00052,2025-05-12,5.61
583,C00052,2025-05-16,50.08
584,C00052,2025-05-18,11.58
585,C00053,2025-09-22,252.22
586,C00053,2025-09-22,97.09
587,C00053,2025-09-29,36.39
588,C00053,2025-10-02,74.98
589,C00053,2025-10-04,107.32
590,C00053,2025-10-05,91.3
591,C00053,2025-10-11,29.71
592,C00053,2025-10-16,105.94
593,C00053,2025-10-26,158.74
594,C00054,2025-11-05,7.47
595,C00054,2025-11-15,34.64
596,C00054,2025-11-21,50.31
597,C00055,2025-12-03,47.9
598,C00055,2025-12-04,27.61
599,C00055,2025-12-05,8.29
600,C00055,2025-12-08,15.06
601,C00055,2025-12-10,24.02
602,C00055,2025-12-14,9.69
603,C00055,2025-12-15,59.51
604,C00055,2025-12-18,30.91
605,C00055,2025-12-19,31.72
606,C00055,2025-12-19,15.37
607,C00055,2025-12-25,42.14
608,C00055,2025-12-28,35.62
609,C00055,2025-12-30,23.19
610,C00056,2025-10-11,140.04
611,C00056,2025-10-13,142.67
612,C00056,2025-10-15,38.27
613,C00056,2025-10-20,61.26
614,C00056,2025-11-05,144.86
615,C00056,2025-11-08,97.07
616,C00056,2025-11-10,40.22
617,C00056,2025-11-11,198.43
618,C00056,2025-11-14,42.84
619,C00056,2025-11-15,333.86
620,C00056,2025-11-22,158.64
621,C00056,2025-11-26,104.99
622,C00056,2025-12-16,88.62
623,C00056,2025-12-20,59.2
624,C00056,2025-12-21,14.45
625,C00056,2025-12-26,53.16
626,C00056,2025-12-31,145.3
627,C00057,2025-08-27,40.7
628,C00057,2025-10-26,72.39
629,C00057,2025-11-02,12.01
630,C00057,2025-11-13,43.87
631,C00057,2025-11-17,15.45
632,C00058,2025-08-29,91.06
633,C00058,2025-11-06,49.56
634,C00059,2025-02-09,40.12
635,C00059,2025-02-13,22.84
636,C00059,2025-02-28,22.72
637,C00059,2025-03-11,19.91
638,C00059,2025-03-15,54.09
639,C00059,2025-03-23,86.52
640,C00059,2025-03-25,52.94
641,C00059,2025-03-30,40.9
642,C00059,2025-04-24,14.9
643,C00059,2025-06-26,13.29
644,C00059,2025-07-24,12.08
645,C00059,2025-07-28,16.89
646,C00059,2025-07-31,15.56
647,C00059,2025-08-03,35.37
648,C00059,2025-08-14,5.25
649,C00060,2025-05-27,190.62
650,C00060,2025-05-29,17.53
651,C00060,2025-05-30,351.77
652,C00060,2025-06-27,140.44
653,C00060,2025-07-03,227.77
654,C00060,2025-07-12,216.55
655,C00060,2025-07-28,38.91
656,C00060,2025-08-18,2.78
657,C00060,2025-08-29,91.84
658,C00060,2025-09-17,81.23
659,C00060,2025-09-20,77.24
660,C00060,2025-09-21,65.14
661,C00061,2025-05-03,197.53
662,C00061,2025-05-16,36.94
663,C00061,2025-05-25,61.33
664,C00061,2025-07-30,28.37
665,C00061,2025-09-10,32.57
666,C00061,2025-09-15,8.86
667,C00061,2025-10-12,6.04
668,C00062,2025-11-14,218.92
669,C00062,2025-11-27,38.04
670,C00062,2025-12-06,19.51
671,C00062,2025-12-15,2.46
672,C00063,2025-06-25,43.77
673,C00063,2025-07-08,16.49
674,C00063,2025-07-21,3.28
675,C00063,2025-08-03,30.84
676,C00063,2025-08-30,31.24
677,C00063,2025-09-01,15.77
678,C00063,2025-09-11,52.3
679,C00063,2025-09-16,47.71
680,C00063,2025-09-19,48.07
681,C00064,2025-06-08,36.65
682,C00064,2025-07-22,64.7
683,C00064,2025-07-25,29.69
684,C00064,2025-08-15,11.18
685,C00064,2025-09-20,35.88
686,C00064,2025-10-29,65.09
687,C00064,2025-11-02,69.21
688,C00064,2025-11-21,13.44
689,C00064,2025-11-30,56.5
690,C00064,2025-12-22,28.32
691,C00064,2025-12-23,90.02
692,C00064,2025-12-29,11.41
693,C00065,2025-04-02,18.18
694,C00065,2025-04-07,47.84
695,C00065,2025-04-28,22.72
696,C00065,2025-05-15,29.93
697,C00065,2025-05-27,83.1
698,C00065,2025-05-29,75.12
699,C00065,2025-05-31,23.07
700,C00065,2025-06-03,22.27
701,C00065,2025-06-22,19.96
702,C00065,2025-06-30,112.52
703,C00065,2025-07-07,30.5
704,C00066,2025-02-09,118.43
705,C00066,2025-02-12,94.61
706,C00066,2025-02-14,55.2
707,C00066,2025-02-17,12.48
708,C00066,2025-02-23,59.82
709,C00066,2025-02-27,45.78
710,C00066,2025-02-28,10.2
711,C00066,2025-03-07,200.29
712,C00066,2025-03-09,113.7
713,C00066,2025-03-21,87.39
714,C00066,2025-03-31,9.16
715,C00066,2025-04-05,134.44
716,C00066,2025-04-19,44.81
717,C00066,2025-04-25,41.36
718,C00066,2025-04-26,80.93
719,C00066,2025-05-01,67.3
720,C00066,2025-05-08,16.02
721,C00066,2025-05-24,49.22
722,C00066,2025-05-27,16.97
723,C00066,2025-06-05,18.42
724,C00066,2025-06-13,83.39
725,C00066,2025-06-27,60.34
726,C00066,2025-07-07,167.59
727,C00066,2025-08-12,25.44
728,C00066,2025-08-13,182.77
729,C00066,2025-08-14,34.24
730,C00066,2025-08-14,39.05
731,C00066,2025-08-21,27.92
732,C00066,2025-09-07,75.42
733,C00066,2025-09-11,101.97
734,C00066,2025-09-19,33.05
735,C00066,2025-09-20,159.79
736,C00066,2025-09-28,23.84
737,C00066,2025-10-03,62.57
738,C00067,2025-03-15,9.81
739,C00067,2025-03-26,17.08
740,C00067,2025-04-04,10.59
741,C00067,2025-04-10,38.66
742,C00067,2025-04-24,14.73
743,C00067,2025-04-27,65.96
744,C00067,2025-04-30,15.4
745,C00067,2025-05-05,90.79
746,C00067,2025-05-14,45.95
747,C00067,2025-05-16,23.95
748,C00067,2025-05-27,12.7
749,C00067,2025-06-04,27.53
750,C00067,2025-06-10,45.84
751,C00067,2025-06-14,35.44
752,C00067,2025-06-18,41.0
753,C00067,2025-06-28,35.98
754,C00067,2025-07-04,32.35
755,C00067,2025-07-08,14.68
756,C00067,2025-07-14,9.15
757,C00067,2025-07-17,35.23
758,C00067,2025-07-19,3.47
759,C00067,2025-07-19,5.73
760,C00067,2025-08-25,21.09
761,C00067,2025-08-29,63.64
762,C00067,2025-08-29,8.67
763,C00067,2025-09-02,10.93
764,C00067,2025-09-03,72.0
765,C00067,2025-09-04,67.75
766,C00067,2025-09-06,19.13
767,C00067,2025-09-06,16.45
768,C00067,2025-09-10,14.82
769,C00067,2025-09-10,23.81
770,C00067,2025-09-14,24.42
771,C00067,2025-10-15,21.79
772,C00067,2025-10-19,53.29
